canonical_url,date_published,domain,from_user_botscore,from_user_id,from_user_screen_name,id,is_mention,original_query,pub_date,site_domain,site_type,title,to_user_botscore,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,tweet_url,url_id,url_raw
,2022-11-03T13:20:32Z,,0.77,1417480369419526151,sergiou01329861,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:32Z,,claim,,0.4,119601906,ITAMAF,2022-11-03T13:20:32Z,1588159191994155010,retweet,https://twitter.com/sergiou01329861/status/1588159191994155010,,
,2022-11-03T13:20:32Z,,0.28,163341528,MiguelUribeT,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:32Z,,claim,,0.08,71441479,gonzalezam,2022-11-03T13:20:32Z,1588159192698949632,retweet,https://twitter.com/MiguelUribeT/status/1588159192698949632,,
,2022-11-03T13:20:32Z,,0.28,87025783,luiscrh,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:32Z,,claim,,0.2,916374804953001984,Carlos_toto_n,2022-11-03T13:20:32Z,1588159193160220675,retweet,https://twitter.com/luiscrh/status/1588159193160220675,,
,2022-11-03T13:20:34Z,,0.19,93573457,Julianaramirez6,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:34Z,,claim,,0.32,1545469082165825536,CLAUDIA12264905,2022-11-03T13:20:34Z,1588159199023964161,retweet,https://twitter.com/Julianaramirez6/status/1588159199023964161,,
,2022-11-03T13:20:34Z,,0.28,163341528,MiguelUribeT,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:34Z,,claim,,0.6,187661840,draco731111,2022-11-03T13:20:34Z,1588159199044829184,retweet,https://twitter.com/MiguelUribeT/status/1588159199044829184,,
,2022-11-03T13:20:34Z,,0.59,1393224127905947648,ManuelJVelez,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:34Z,,claim,,0.28,407297075,elianadelgador,2022-11-03T13:20:34Z,1588159200462401538,retweet,https://twitter.com/ManuelJVelez/status/1588159200462401538,,
,2022-11-03T13:20:35Z,,0.25,965331540,jarizabaletaf,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:35Z,,claim,,0.16,917602561380765696,MarthaOrdez8,2022-11-03T13:20:35Z,1588159202094096385,retweet,https://twitter.com/jarizabaletaf/status/1588159202094096385,,
,2022-11-03T13:20:35Z,,0.25,965331540,jarizabaletaf,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:35Z,,claim,,0.5,571302814,ALBERTOHENAO4,2022-11-03T13:20:35Z,1588159204401250304,retweet,https://twitter.com/jarizabaletaf/status/1588159204401250304,,
,2022-11-03T13:20:35Z,,0.26,50981729,GustavoBolivar,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:35Z,,claim,,0.25,1506279699504418818,Alfredo07540822,2022-11-03T13:20:35Z,1588159206141706240,retweet,https://twitter.com/GustavoBolivar/status/1588159206141706240,,
,2022-11-03T13:20:36Z,,0.13,561527856,RiosGiraldo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:36Z,,claim,,0.13,545174786,Gerariascortes,2022-11-03T13:20:36Z,1588159207081140224,retweet,https://twitter.com/RiosGiraldo/status/1588159207081140224,,
,2022-11-03T13:20:36Z,,0.22,2652114734,papoaminCD,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:36Z,,claim,,0.43,1530270869515296775,FredyEzequielM2,2022-11-03T13:20:36Z,1588159208456744960,retweet,https://twitter.com/papoaminCD/status/1588159208456744960,,
,2022-11-03T13:20:38Z,,0.14,221466950,wilsonariasc,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:38Z,,claim,,0.16,1485123987621429251,DavidVa28305843,2022-11-03T13:20:38Z,1588159216287506433,retweet,https://twitter.com/wilsonariasc/status/1588159216287506433,,
,2022-11-03T13:20:38Z,,0.13,4028486487,IglesiasJulio87,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:38Z,,claim,,0.35,133119866,JavierFLopezH,2022-11-03T13:20:38Z,1588159216925155331,retweet,https://twitter.com/IglesiasJulio87/status/1588159216925155331,,
,2022-11-03T13:20:39Z,,0.28,163341528,MiguelUribeT,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:39Z,,claim,,0.68,1562115676504047616,Jhonny0939m,2022-11-03T13:20:39Z,1588159219143950336,retweet,https://twitter.com/MiguelUribeT/status/1588159219143950336,,
,2022-11-03T13:20:39Z,,0.45,518979494,RestrepoJCamilo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:39Z,,claim,,0.32,63149320,lila2160,2022-11-03T13:20:39Z,1588159219953434625,retweet,https://twitter.com/RestrepoJCamilo/status/1588159219953434625,,
,2022-11-03T13:20:39Z,,0.44,1069975233828917248,laurisarabia,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:39Z,,claim,,0.11,2708193669,pedrourbano11,2022-11-03T13:20:39Z,1588159220402249729,retweet,https://twitter.com/laurisarabia/status/1588159220402249729,,
,2022-11-03T13:20:40Z,,0.25,27570569,lcvelez,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:40Z,,claim,,0.59,118716187,alejoplata,2022-11-03T13:20:40Z,1588159226014318599,retweet,https://twitter.com/lcvelez/status/1588159226014318599,,
,2022-11-03T13:20:40Z,,0.34,187265770,ErasmoRojasZ,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:40Z,,claim,,0.92,1514199792385200128,JorgeCo41460060,2022-11-03T13:20:40Z,1588159227037728770,retweet,https://twitter.com/ErasmoRojasZ/status/1588159227037728770,,
,2022-11-03T13:20:41Z,,0.14,221466950,wilsonariasc,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:41Z,,claim,,0.3,77253481,mianmalo,2022-11-03T13:20:41Z,1588159227234861056,retweet,https://twitter.com/wilsonariasc/status/1588159227234861056,,
,2022-11-03T13:20:41Z,,0.23,268322810,JERobledo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:41Z,,claim,,0.02,558814457,Drmaopal,2022-11-03T13:20:41Z,1588159227306151939,retweet,https://twitter.com/JERobledo/status/1588159227306151939,,
,2022-11-03T13:20:42Z,,0.34,1115440213,CeDemocratico,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:42Z,,claim,,0.62,739145310,rodrigoqc33,2022-11-03T13:20:42Z,1588159231794053120,retweet,https://twitter.com/CeDemocratico/status/1588159231794053120,,
,2022-11-03T13:20:42Z,,0.18,25490757,ghitis,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:42Z,,claim,,0.2,916374804953001984,Carlos_toto_n,2022-11-03T13:20:42Z,1588159232012128263,retweet,https://twitter.com/ghitis/status/1588159232012128263,,
,2022-11-03T13:20:42Z,,0.14,221466950,wilsonariasc,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:42Z,,claim,,0.15,263742981,Fiigueeroa,2022-11-03T13:20:42Z,1588159232452440064,retweet,https://twitter.com/wilsonariasc/status/1588159232452440064,,
,2022-11-03T13:20:42Z,,0.14,221466950,wilsonariasc,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:42Z,,claim,,0.16,236586278,jenniferprints,2022-11-03T13:20:42Z,1588159232758747136,retweet,https://twitter.com/wilsonariasc/status/1588159232758747136,,
,2022-11-03T13:20:43Z,,0.23,268322810,JERobledo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:43Z,,claim,,0.21,284375590,yvanberrio,2022-11-03T13:20:43Z,1588159235661205504,retweet,https://twitter.com/JERobledo/status/1588159235661205504,,
,2022-11-03T13:20:43Z,,0.16,541020317,MiguelPoloP,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:43Z,,claim,,0.33,1556060812388843524,Libby60735509,2022-11-03T13:20:43Z,1588159236390866944,retweet,https://twitter.com/MiguelPoloP/status/1588159236390866944,,
,2022-11-03T13:20:43Z,,0.34,1249029518800629761,sebasnarvaezm,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:43Z,,claim,,0.2,1246634503357038592,MedicenJossema1,2022-11-03T13:20:43Z,1588159236789268480,retweet,https://twitter.com/sebasnarvaezm/status/1588159236789268480,,
